,dates,D,R,T,H,E
0,2020-01-24,0,3,,,0
1,2020-01-27,0,3,0,0,0
2,2020-01-28,0,4,1,0,0
3,2020-01-29,0,5,2,0,0
4,2020-01-30,0,6,2,0,0
5,2020-01-31,0,6,2,0,0
6,2020-02-02,0,6,1,0,0
7,2020-02-03,0,6,1,0,0
8,2020-02-04,0,6,1,0,0
9,2020-02-05,0,6,1,0,0
10,2020-02-07,0,6,1,0,0
11,2020-02-08,0,11,1,0,0
12,2020-02-09,0,11,1,0,0
13,2020-02-10,0,11,1,0,0
14,2020-02-12,2,9,1,2,0
15,2020-02-13,3,8,1,3,0
16,2020-02-15,5,7,,4,1
17,2020-02-17,13.74246154294815,,,,1
18,2020-02-19,8,4,,7,1
19,2020-02-21,11,1,,10,1
20,2020-02-23,11,1,,10,1
21,2020-02-24,-1.439258279344358,,,11,1
22,2020-02-25,12,2,,11,1
23,2020-02-26,14,4,,12,2
24,2020-02-27,14,24,2,12,2
25,2020-02-28,5.662001739285188,,,,2
26,2020-02-29,14,86,9,12,2
27,2020-03-01,14,116,9,12,2
28,2020-03-02,189.1036931648996,,,,3
29,2020-03-03,249.26559751318382,,,12,4
30,2020-03-04,366.42804012917077,,15,,4
31,2020-03-05,544.0298243374873,,23,,7
32,2020-03-06,755.524845488173,,39,,9
33,2020-03-07,1078.1065217147989,,45,,16
34,2020-03-09,1474.1004325535305,,66,,25
35,2020-03-10,1706.8656237049217,,86,,33
36,2020-03-11,1975.86722555907,,105,,48
37,2020-03-12,2241.456897133685,,129,,61
38,2020-03-14,3426.8879943450593,,300,,91
39,2020-03-15,5023,400,,,127
40,2020-03-17,5151,2579,699,602,175
41,2020-03-18,5508,3626,931,1000,264
42,2020-03-19,6534,4461,1122,1300,372
43,2020-03-20,7386,5226,1297,1587,450
44,2020-03-21,8287,6172,1525,,562
45,2020-03-22,9449,7240,1746,2200,674
46,2020-03-23,11181,8675,2082,,860
47,2020-03-24,12126,10176,2516,3281,1100
48,2020-03-25,13694,11539,2827,3900,1331
49,2020-03-26,15251,13904,3375,4948,1696
50,2020-03-27,17232,15732,3787,,1995
51,2020-03-28,19955,17620,4273,,2314
52,2020-03-29,20820,19354,4632,,2606
53,2020-03-30,23542,21008,5107,7924,3024
54,2020-03-31,29371,22757,5565,9444,3523
55,2020-04-01,32350,24639,6017,10935,4032
56,2020-04-02,32859,26246,6399,12428,4503
57,2020-04-03,36906,27432,6662,14008,5091
58,2020-04-04,40462,28143,6838,15438,5532
59,2020-04-05,41587,28891,6978,16183,5889
60,2020-04-06,44668,29722,7072,17250,6494
61,2020-04-07,48140,30027,7131,19337,7091
62,2020-04-08,51673,30375,7148,21254,7632
63,2020-04-09,55567,30767,7066,23206,8044
64,2020-04-10,59409,31267,7004,24932,8598
65,2020-04-11,62470,31320,6883,26391,8943
66,2020-04-12,63577,31826,6845,27186,9253
67,2020-04-13,65963,32113,6821,27718,9588
68,2020-04-14,71281,32292,6730,28805,10129
69,2020-04-15,74427,31779,6457,30995,10643
70,2020-04-16,77542,31305,6248,32812,11060
71,2020-04-17,78062,31190,6027,34420,11478
72,2020-04-18,81182,30639,5833,35983,11842
73,2020-04-19,81996,30610,5744,36578,12069
74,2020-04-20,84073,30584,5683,37409,12513
75,2020-04-21,87218,30106,5433,39181,12900
76,2020-04-22,89410,29741,5218,40657,13236
77,2020-04-23,91585,29219,5053,42088,13547
78,2020-04-24,93919,28658,4870,43493,13852
79,2020-04-25,95892,28222,4725,44594,14050
80,2020-04-26,96358,28217,4682,44903,14202
81,2020-04-27,100284,28055,4608,45513,14497
82,2020-04-28,102375,27484,4387,46886,14810
83,2020-04-29,101608,26834,4207,48228,15053
84,2020-04-30,103298,26283,4019,49476,15244
85,2020-05-01,104298,25887,3878,50212,15369
86,2020-05-02,105152,25827,3827,50562,15487
87,2020-05-03,105472,25815,3819,50784,15583
88,2020-05-04,106315,25548,3696,51371,15826
89,2020-05-05,108192,24775,3430,52736,16060
90,2020-05-06,113167,23983,3147,53972,16237
91,2020-05-07,114571,23208,2961,55027,16386
92,2020-05-08,115697,22724,2868,55782,16497
93,2020-05-09,116240,22614,2812,56038,16573
94,2020-05-10,116494,22569,2776,56217,16642
95,2020-05-11,117235,22284,2712,56724,16820
96,2020-05-12,118632,21595,2542,57785,17003
97,2020-05-13,119663,21071,2428,58673,17101
98,2020-05-14,120893,20463,2299,59605,17224
99,2020-05-15,122058,19861,2203,60448,17342
100,2020-05-16,122859,19432,2132,61066,17412
101,2020-05-17,123050,19361,2087,61213,17466
102,2020-05-18,123888,19015,1998,61728,17589
103,2020-05-19,124959,18468,1894,62563,17714
104,2020-05-20,125904,17941,1794,63354,17812
105,2020-05-21,126580,17583,1745,63858,17870
106,2020-05-22,127173,17383,1701,64209,17944
107,2020-05-23,127628,17178,1665,64547,17987
108,2020-05-24,127736,17185,1655,64617,18022
109,2020-05-25,128481,16798,1609,65199,18112
110,2020-05-26,129291,16264,1555,65879,18195
111,2020-05-27,130066,15680,1501,66584,18260
112,2020-05-28,133863,15208,1429,67191,18326
113,2020-05-29,134973,14695,1361,67803,18387
114,2020-05-30,137116,14380,1325,68268,18444
115,2020-05-31,137431,14322,1319,68355,18475
116,2020-06-01,137803,14288,1302,68440,18506
117,2020-06-02,137297,14028,1253,68812,18590
118,2020-06-03,138163,13514,1210,69455,18671
119,2020-06-04,139343,13101,1163,69976,18715
120,2020-06-05,140359,12696,1094,70504,18761
121,2020-06-06,141155,12479,1059,70806,18792
122,2020-06-07,141516,12461,1053,70842,18805
123,2020-06-08,141873,12315,1024,71062,18859
124,2020-06-09,142630,11961,955,71506,18912
125,2020-06-10,143458,11678,933,71832,18935
126,2020-06-11,144096,11465,903,72149,18962
127,2020-06-12,145163,11124,879,72572,18990
128,2020-06-13,145904,10909,871,72808,19014
129,2020-06-14,146339,10881,869,72859,19023
130,2020-06-15,146620,10752,846,73044,19052
131,2020-06-16,147181,10535,820,73335,19090
132,2020-06-17,147907,10267,772,73667,19118
133,2020-06-18,148516,10125,752,73887,19146
134,2020-06-19,149482,9970,727,74117,19160
135,2020-06-20,150256,9837,715,74312,19176
136,2020-06-21,150554,9823,715,74372,19183
137,2020-06-22,151057,9693,701,74612,19206
138,2020-06-23,151776,9491,682,74871,19232
139,2020-06-24,152049,9299,658,75127,19243
140,2020-06-25,152207,9141,651,75351,19264
141,2020-06-26,154050,8886,634,75649,19290
142,2020-06-27,154568,8886,634,75649,19290
143,2020-06-28,155094,8886,634,75649,19290
144,2020-06-29,155572,8688,619,75999,19325
145,2020-06-30,156265,8536,602,76274,19346
146,2020-07-01,157383,8336,582,76549,19364
147,2020-07-02,158230,8148,573,76802,19378
148,2020-07-03,158970,7990,560,77060,19396
149,2020-07-04,160147.47179637715,,,,
150,2020-07-05,160740.02606408286,,,,
151,2020-07-06,160485,7850,548,77319,19423
152,2020-07-07,161216,7594,538,77655,19457
153,2020-07-08,162176,7297,529,77996,19489
154,2020-07-09,162917,7177,512,78170,19503
155,2020-07-10,163690,7062,496,78388,19528
156,2020-07-11,164853.69460664623,,,,
157,2020-07-12,165521.99869043715,,,,
158,2020-07-13,165394,6983,492,78597,19553
159,2020-07-14,166416.01778783707,,,,
160,2020-07-15,166389,6915,482,78820,19579
161,2020-07-16,167042,6796,481,79036,19597
162,2020-07-17,167986,6688,477,79244,19611
163,2020-07-18,169192.68886060116,,,,
164,2020-07-19,170006.75568852827,,,,
165,2020-07-20,170165,6589,467,79541,19636
166,2020-07-21,170856,6482,455,79734,19649
167,2020-07-22,171970,6366,445,79957,19656
168,2020-07-23,173441,5957,436,80472,19666
169,2020-07-24,174808,5720,410,80815,19676
